kernel,threads,schedule,array_len,nb_bins,nb_repeat,rep,timing,check_status
histogram,1,none,1,1,10,0,3.513000e-06,0
histogram,1,none,1,1,10,1,2.500000e-07,0
histogram,1,none,1,1,10,2,1.330000e-07,0
histogram,1,none,1,1,10,3,1.370000e-07,0
histogram,1,none,1,1,10,4,1.360000e-07,0
histogram,1,none,1,1,10,5,1.330000e-07,0
histogram,1,none,1,1,10,6,1.360000e-07,0
histogram,1,none,1,1,10,7,1.340000e-07,0
histogram,1,none,1,1,10,8,1.340000e-07,0
histogram,1,none,1,1,10,9,1.330000e-07,0
histogram,1,none,2,2,10,0,3.208000e-06,0
histogram,1,none,2,2,10,1,3.890000e-07,0
histogram,1,none,2,2,10,2,1.720000e-07,0
histogram,1,none,2,2,10,3,2.600000e-07,0
histogram,1,none,2,2,10,4,1.340000e-07,0
histogram,1,none,2,2,10,5,1.370000e-07,0
histogram,1,none,2,2,10,6,1.420000e-07,0
histogram,1,none,2,2,10,7,2.000000e-07,0
histogram,1,none,2,2,10,8,1.380000e-07,0
histogram,1,none,2,2,10,9,1.770000e-07,0
histogram,1,none,4,4,10,0,3.592000e-06,0
histogram,1,none,4,4,10,1,4.310000e-07,0
histogram,1,none,4,4,10,2,3.230000e-07,0
histogram,1,none,4,4,10,3,2.870000e-07,0
histogram,1,none,4,4,10,4,2.940000e-07,0
histogram,1,none,4,4,10,5,2.800000e-07,0
histogram,1,none,4,4,10,6,2.750000e-07,0
histogram,1,none,4,4,10,7,2.800000e-07,0
histogram,1,none,4,4,10,8,2.990000e-07,0
histogram,1,none,4,4,10,9,2.750000e-07,0
histogram,1,none,8,8,10,0,3.438000e-06,0
histogram,1,none,8,8,10,1,6.460000e-07,0
histogram,1,none,8,8,10,2,4.060000e-07,0
histogram,1,none,8,8,10,3,3.940000e-07,0
histogram,1,none,8,8,10,4,4.630000e-07,0
histogram,1,none,8,8,10,5,4.080000e-07,0
histogram,1,none,8,8,10,6,4.940000e-07,0
histogram,1,none,8,8,10,7,3.920000e-07,0
histogram,1,none,8,8,10,8,4.370000e-07,0
histogram,1,none,8,8,10,9,4.740000e-07,0
histogram,1,none,16,16,10,0,4.251000e-06,0
histogram,1,none,16,16,10,1,9.840000e-07,0
histogram,1,none,16,16,10,2,9.940000e-07,0
histogram,1,none,16,16,10,3,9.530000e-07,0
histogram,1,none,16,16,10,4,9.720000e-07,0
histogram,1,none,16,16,10,5,1.078000e-06,0
histogram,1,none,16,16,10,6,8.540000e-07,0
histogram,1,none,16,16,10,7,8.520000e-07,0
histogram,1,none,16,16,10,8,7.890000e-07,0
histogram,1,none,16,16,10,9,8.950000e-07,0
histogram,1,none,32,32,10,0,4.497000e-06,0
histogram,1,none,32,32,10,1,2.025000e-06,0
histogram,1,none,32,32,10,2,1.932000e-06,0
histogram,1,none,32,32,10,3,1.778000e-06,0
histogram,1,none,32,32,10,4,1.618000e-06,0
histogram,1,none,32,32,10,5,1.900000e-06,0
histogram,1,none,32,32,10,6,1.960000e-06,0
histogram,1,none,32,32,10,7,1.739000e-06,0
histogram,1,none,32,32,10,8,1.740000e-06,0
histogram,1,none,32,32,10,9,1.812000e-06,0
histogram,1,none,64,64,10,0,8.485000e-06,0
histogram,1,none,64,64,10,1,6.011000e-06,0
histogram,1,none,64,64,10,2,5.326000e-06,0
histogram,1,none,64,64,10,3,5.542000e-06,0
histogram,1,none,64,64,10,4,5.551000e-06,0
histogram,1,none,64,64,10,5,5.080000e-06,0
histogram,1,none,64,64,10,6,4.955000e-06,0
histogram,1,none,64,64,10,7,5.914000e-06,0
histogram,1,none,64,64,10,8,5.591000e-06,0
histogram,1,none,64,64,10,9,5.642000e-06,0
histogram,1,none,128,128,10,0,1.670300e-05,0
histogram,1,none,128,128,10,1,1.353200e-05,0
histogram,1,none,128,128,10,2,1.381200e-05,0
histogram,1,none,128,128,10,3,1.292000e-05,0
histogram,1,none,128,128,10,4,1.457000e-05,0
histogram,1,none,128,128,10,5,1.303300e-05,0
histogram,1,none,128,128,10,6,1.294600e-05,0
histogram,1,none,128,128,10,7,1.312000e-05,0
histogram,1,none,128,128,10,8,1.350700e-05,0
histogram,1,none,128,128,10,9,1.326800e-05,0
histogram,1,none,256,256,10,0,6.666400e-05,0
histogram,1,none,256,256,10,1,5.772900e-05,0
histogram,1,none,256,256,10,2,6.043100e-05,0
histogram,1,none,256,256,10,3,5.609400e-05,0
histogram,1,none,256,256,10,4,5.798000e-05,0
histogram,1,none,256,256,10,5,5.594500e-05,0
histogram,1,none,256,256,10,6,5.933400e-05,0
histogram,1,none,256,256,10,7,5.620700e-05,0
histogram,1,none,256,256,10,8,5.837100e-05,0
histogram,1,none,256,256,10,9,5.884300e-05,0
histogram,1,none,512,512,10,0,2.270860e-04,0
histogram,1,none,512,512,10,1,2.176120e-04,0
histogram,1,none,512,512,10,2,2.130060e-04,0
histogram,1,none,512,512,10,3,2.161350e-04,0
histogram,1,none,512,512,10,4,2.194010e-04,0
histogram,1,none,512,512,10,5,2.141320e-04,0
histogram,1,none,512,512,10,6,2.196720e-04,0
histogram,1,none,512,512,10,7,2.215860e-04,0
histogram,1,none,512,512,10,8,2.159630e-04,0
histogram,1,none,512,512,10,9,2.121830e-04,0
histogram,1,none,1024,1024,10,0,8.061910e-04,0
histogram,1,none,1024,1024,10,1,7.782590e-04,0
histogram,1,none,1024,1024,10,2,7.759310e-04,0
histogram,1,none,1024,1024,10,3,7.907820e-04,0
histogram,1,none,1024,1024,10,4,7.492550e-04,0
histogram,1,none,1024,1024,10,5,7.352420e-04,0
histogram,1,none,1024,1024,10,6,7.051660e-04,0
histogram,1,none,1024,1024,10,7,7.408150e-04,0
histogram,1,none,1024,1024,10,8,7.106680e-04,0
histogram,1,none,1024,1024,10,9,7.074890e-04,0
histogram,1,none,2048,2048,10,0,2.879724e-03,0
histogram,1,none,2048,2048,10,1,2.863678e-03,0
histogram,1,none,2048,2048,10,2,2.874175e-03,0
histogram,1,none,2048,2048,10,3,2.661387e-03,0
histogram,1,none,2048,2048,10,4,2.607764e-03,0
histogram,1,none,2048,2048,10,5,2.533704e-03,0
histogram,1,none,2048,2048,10,6,2.545292e-03,0
histogram,1,none,2048,2048,10,7,2.373298e-03,0
histogram,1,none,2048,2048,10,8,2.347807e-03,0
histogram,1,none,2048,2048,10,9,2.304000e-03,0
histogram,1,none,4096,4096,10,0,1.368912e-02,0
histogram,1,none,4096,4096,10,1,1.143565e-02,0
histogram,1,none,4096,4096,10,2,9.851516e-03,0
histogram,1,none,4096,4096,10,3,9.085230e-03,0
histogram,1,none,4096,4096,10,4,8.265279e-03,0
histogram,1,none,4096,4096,10,5,7.916479e-03,0
histogram,1,none,4096,4096,10,6,7.368537e-03,0
histogram,1,none,4096,4096,10,7,6.943384e-03,0
histogram,1,none,4096,4096,10,8,6.709711e-03,0
histogram,1,none,4096,4096,10,9,6.830503e-03,0
histogram,1,none,8192,8192,10,0,4.809213e-02,0
histogram,1,none,8192,8192,10,1,3.133724e-02,0
histogram,1,none,8192,8192,10,2,2.710161e-02,0
histogram,1,none,8192,8192,10,3,2.696553e-02,0
histogram,1,none,8192,8192,10,4,2.694129e-02,0
histogram,1,none,8192,8192,10,5,2.685151e-02,0
histogram,1,none,8192,8192,10,6,2.715851e-02,0
histogram,1,none,8192,8192,10,7,2.719991e-02,0
