kernel,threads/bloc,array_len,nb_bins,nb_repeat,rep,timing,check_status
histogram,none,8192,8192,10,0,2.111799e-02,0
histogram,none,8192,8192,10,1,2.088991e-02,0
histogram,none,8192,8192,10,2,2.111829e-02,0
histogram,none,8192,8192,10,3,2.102070e-02,0
histogram,none,8192,8192,10,4,2.101407e-02,0
histogram,none,8192,8192,10,5,2.093701e-02,0
histogram,none,8192,8192,10,6,2.113518e-02,0
histogram,none,8192,8192,10,7,2.108759e-02,0
histogram,none,8192,8192,10,8,2.116484e-02,0
histogram,none,8192,8192,10,9,2.102885e-02,0
histogram,none,16384,8192,10,0,4.191146e-02,0
histogram,none,16384,8192,10,1,4.219496e-02,0
histogram,none,16384,8192,10,2,4.188065e-02,0
histogram,none,16384,8192,10,3,4.224635e-02,0
histogram,none,16384,8192,10,4,4.214836e-02,0
histogram,none,16384,8192,10,5,4.221270e-02,0
histogram,none,16384,8192,10,6,4.244935e-02,0
histogram,none,16384,8192,10,7,4.176015e-02,0
histogram,none,16384,8192,10,8,4.200490e-02,0
histogram,none,16384,8192,10,9,4.217102e-02,0
histogram,none,32768,8192,10,0,8.401530e-02,0
histogram,none,32768,8192,10,1,8.424543e-02,0
histogram,none,32768,8192,10,2,8.448958e-02,0
histogram,none,32768,8192,10,3,8.423825e-02,0
histogram,none,32768,8192,10,4,8.438115e-02,0
histogram,none,32768,8192,10,5,8.407267e-02,0
histogram,none,32768,8192,10,6,8.442511e-02,0
histogram,none,32768,8192,10,7,8.453322e-02,0
histogram,none,32768,8192,10,8,8.429006e-02,0
histogram,none,32768,8192,10,9,8.470958e-02,0
histogram,none,65536,8192,10,0,1.684389e-01,0
histogram,none,65536,8192,10,1,1.687404e-01,0
histogram,none,65536,8192,10,2,1.684653e-01,0
histogram,none,65536,8192,10,3,1.688478e-01,0
histogram,none,65536,8192,10,4,1.690696e-01,0
histogram,none,65536,8192,10,5,1.687661e-01,0
histogram,none,65536,8192,10,6,1.680867e-01,0
histogram,none,65536,8192,10,7,1.687684e-01,0
histogram,none,65536,8192,10,8,1.682275e-01,0
histogram,none,65536,8192,10,9,1.687811e-01,0
histogram,none,131072,8192,10,0,3.370517e-01,0
histogram,none,131072,8192,10,1,3.371787e-01,0
histogram,none,131072,8192,10,2,3.379039e-01,0
histogram,none,131072,8192,10,3,3.368855e-01,0
histogram,none,131072,8192,10,4,3.369327e-01,0
histogram,none,131072,8192,10,5,3.370505e-01,0
histogram,none,131072,8192,10,6,3.364403e-01,0
histogram,none,131072,8192,10,7,3.377074e-01,0
histogram,none,131072,8192,10,8,3.372204e-01,0
histogram,none,131072,8192,10,9,3.371432e-01,0
histogram,none,262144,8192,10,0,6.705687e-01,0
histogram,none,262144,8192,10,1,6.712258e-01,0
histogram,none,262144,8192,10,2,6.698850e-01,0
histogram,none,262144,8192,10,3,6.697893e-01,0
histogram,none,262144,8192,10,4,6.705215e-01,0
histogram,none,262144,8192,10,5,6.708145e-01,0
histogram,none,262144,8192,10,6,6.694960e-01,0
histogram,none,262144,8192,10,7,6.687368e-01,0
histogram,none,262144,8192,10,8,6.698246e-01,0
histogram,none,262144,8192,10,9,6.705014e-01,0
histogram,none,524288,8192,10,0,1.340474e+00,0
histogram,none,524288,8192,10,1,1.342463e+00,0
histogram,none,524288,8192,10,2,1.341159e+00,0
histogram,none,524288,8192,10,3,1.340097e+00,0
histogram,none,524288,8192,10,4,1.338800e+00,0
histogram,none,524288,8192,10,5,1.341661e+00,0
histogram,none,524288,8192,10,6,1.340861e+00,0
histogram,none,524288,8192,10,7,1.338932e+00,0
histogram,none,524288,8192,10,8,1.340537e+00,0
histogram,none,524288,8192,10,9,1.341246e+00,0
histogram,none,1048576,8192,10,0,2.697252e+00,0
histogram,none,1048576,8192,10,1,2.694300e+00,0
histogram,none,1048576,8192,10,2,2.697243e+00,0
histogram,none,1048576,8192,10,3,2.696219e+00,0
histogram,none,1048576,8192,10,4,2.705449e+00,0
histogram,none,1048576,8192,10,5,2.691462e+00,0
histogram,none,1048576,8192,10,6,2.697855e+00,0
histogram,none,1048576,8192,10,7,2.688831e+00,0
histogram,none,1048576,8192,10,8,2.696146e+00,0
histogram,none,1048576,8192,10,9,2.697426e+00,0
histogram_cuda,256,8192,8192,10,0,9.098924e-02,0
histogram_cuda,256,8192,8192,10,1,1.436030e-04,0
histogram_cuda,256,8192,8192,10,2,1.324870e-04,0
histogram_cuda,256,8192,8192,10,3,1.309630e-04,0
histogram_cuda,256,8192,8192,10,4,1.962080e-04,0
histogram_cuda,256,8192,8192,10,5,1.470350e-04,0
histogram_cuda,256,8192,8192,10,6,1.356690e-04,0
histogram_cuda,256,8192,8192,10,7,1.292170e-04,0
histogram_cuda,256,8192,8192,10,8,1.308380e-04,0
histogram_cuda,256,8192,8192,10,9,1.511160e-04,0
histogram_cuda,256,16384,8192,10,0,7.111098e-02,0
histogram_cuda,256,16384,8192,10,1,2.715350e-04,0
histogram_cuda,256,16384,8192,10,2,1.400850e-04,0
histogram_cuda,256,16384,8192,10,3,1.341850e-04,0
histogram_cuda,256,16384,8192,10,4,2.737700e-04,0
histogram_cuda,256,16384,8192,10,5,1.406620e-04,0
histogram_cuda,256,16384,8192,10,6,2.206290e-04,0
histogram_cuda,256,16384,8192,10,7,2.553180e-04,0
histogram_cuda,256,16384,8192,10,8,2.323360e-04,0
histogram_cuda,256,16384,8192,10,9,2.613710e-04,0
histogram_cuda,256,32768,8192,10,0,7.982730e-02,0
histogram_cuda,256,32768,8192,10,1,1.670740e-04,0
histogram_cuda,256,32768,8192,10,2,1.700260e-04,0
histogram_cuda,256,32768,8192,10,3,2.737340e-04,0
histogram_cuda,256,32768,8192,10,4,2.424380e-04,0
histogram_cuda,256,32768,8192,10,5,1.549440e-04,0
histogram_cuda,256,32768,8192,10,6,2.412560e-04,0
histogram_cuda,256,32768,8192,10,7,2.886330e-04,0
histogram_cuda,256,32768,8192,10,8,1.835820e-04,0
histogram_cuda,256,32768,8192,10,9,1.643510e-04,0
histogram_cuda,256,65536,8192,10,0,6.852042e-02,0
histogram_cuda,256,65536,8192,10,1,1.997150e-04,0
histogram_cuda,256,65536,8192,10,2,3.347140e-04,0
histogram_cuda,256,65536,8192,10,3,2.599710e-04,0
histogram_cuda,256,65536,8192,10,4,3.309330e-04,0
histogram_cuda,256,65536,8192,10,5,2.999320e-04,0
histogram_cuda,256,65536,8192,10,6,3.248680e-04,0
histogram_cuda,256,65536,8192,10,7,3.240450e-04,0
histogram_cuda,256,65536,8192,10,8,1.869430e-04,0
histogram_cuda,256,65536,8192,10,9,3.284810e-04,0
histogram_cuda,256,131072,8192,10,0,7.232017e-02,0
histogram_cuda,256,131072,8192,10,1,3.925190e-04,0
histogram_cuda,256,131072,8192,10,2,3.890440e-04,0
histogram_cuda,256,131072,8192,10,3,3.933380e-04,0
histogram_cuda,256,131072,8192,10,4,3.824040e-04,0
histogram_cuda,256,131072,8192,10,5,3.817590e-04,0
histogram_cuda,256,131072,8192,10,6,3.715640e-04,0
histogram_cuda,256,131072,8192,10,7,3.838950e-04,0
histogram_cuda,256,131072,8192,10,8,3.908060e-04,0
histogram_cuda,256,131072,8192,10,9,3.990390e-04,0
histogram_cuda,256,262144,8192,10,0,7.431405e-02,0
histogram_cuda,256,262144,8192,10,1,5.086810e-04,0
histogram_cuda,256,262144,8192,10,2,5.115060e-04,0
histogram_cuda,256,262144,8192,10,3,5.164940e-04,0
histogram_cuda,256,262144,8192,10,4,4.915360e-04,0
histogram_cuda,256,262144,8192,10,5,5.042340e-04,0
histogram_cuda,256,262144,8192,10,6,4.940390e-04,0
histogram_cuda,256,262144,8192,10,7,5.242280e-04,0
histogram_cuda,256,262144,8192,10,8,5.133210e-04,0
histogram_cuda,256,262144,8192,10,9,5.100200e-04,0
histogram_cuda,256,524288,8192,10,0,7.024334e-02,0
histogram_cuda,256,524288,8192,10,1,8.121550e-04,0
histogram_cuda,256,524288,8192,10,2,8.095880e-04,0
histogram_cuda,256,524288,8192,10,3,8.196030e-04,0
histogram_cuda,256,524288,8192,10,4,7.998120e-04,0
histogram_cuda,256,524288,8192,10,5,7.978610e-04,0
histogram_cuda,256,524288,8192,10,6,8.058650e-04,0
histogram_cuda,256,524288,8192,10,7,7.943070e-04,0
histogram_cuda,256,524288,8192,10,8,7.976540e-04,0
histogram_cuda,256,524288,8192,10,9,8.054060e-04,0
histogram_cuda,256,1048576,8192,10,0,6.866707e-02,0
histogram_cuda,256,1048576,8192,10,1,1.235870e-03,0
histogram_cuda,256,1048576,8192,10,2,1.232048e-03,0
histogram_cuda,256,1048576,8192,10,3,1.242299e-03,0
histogram_cuda,256,1048576,8192,10,4,1.220661e-03,0
histogram_cuda,256,1048576,8192,10,5,1.222478e-03,0
histogram_cuda,256,1048576,8192,10,6,1.218926e-03,0
histogram_cuda,256,1048576,8192,10,7,1.257294e-03,0
histogram_cuda,256,1048576,8192,10,8,1.219733e-03,0
histogram_cuda,256,1048576,8192,10,9,1.218436e-03,0
histogram_cuda,512,8192,8192,10,0,8.695470e-02,0
histogram_cuda,512,8192,8192,10,1,1.455150e-04,0
histogram_cuda,512,8192,8192,10,2,1.332300e-04,0
histogram_cuda,512,8192,8192,10,3,1.325160e-04,0
histogram_cuda,512,8192,8192,10,4,1.378540e-04,0
histogram_cuda,512,8192,8192,10,5,1.436300e-04,0
histogram_cuda,512,8192,8192,10,6,1.351380e-04,0
histogram_cuda,512,8192,8192,10,7,1.315350e-04,0
histogram_cuda,512,8192,8192,10,8,1.354250e-04,0
histogram_cuda,512,8192,8192,10,9,1.339640e-04,0
histogram_cuda,512,16384,8192,10,0,6.703353e-02,0
histogram_cuda,512,16384,8192,10,1,2.859890e-04,0
histogram_cuda,512,16384,8192,10,2,1.682170e-04,0
histogram_cuda,512,16384,8192,10,3,2.346040e-04,0
histogram_cuda,512,16384,8192,10,4,1.676710e-04,0
histogram_cuda,512,16384,8192,10,5,1.448530e-04,0
