kernel,threads,schedule,array_len,nb_bins,nb_repeat,rep,timing,check_status
histogram_omp_outer,1,static,10,10,10,0,1.691373e-02,0
histogram_omp_outer,1,static,10,10,10,1,3.970000e-06,0
histogram_omp_outer,1,static,10,10,10,2,2.964000e-06,0
histogram_omp_outer,1,static,10,10,10,3,3.130000e-06,0
histogram_omp_outer,1,static,10,10,10,4,3.103000e-06,0
histogram_omp_outer,1,static,10,10,10,5,2.817000e-06,0
histogram_omp_outer,1,static,10,10,10,6,3.167000e-06,0
histogram_omp_outer,1,static,10,10,10,7,2.993000e-06,0
histogram_omp_outer,1,static,10,10,10,8,2.967000e-06,0
histogram_omp_outer,1,static,10,10,10,9,3.006000e-06,0
histogram_omp_outer,1,static,10,100,10,0,3.400300e-05,0
histogram_omp_outer,1,static,10,100,10,1,4.690000e-06,0
histogram_omp_outer,1,static,10,100,10,2,3.833000e-06,0
histogram_omp_outer,1,static,10,100,10,3,3.970000e-06,0
histogram_omp_outer,1,static,10,100,10,4,3.946000e-06,0
histogram_omp_outer,1,static,10,100,10,5,3.514000e-06,0
histogram_omp_outer,1,static,10,100,10,6,4.186000e-06,0
histogram_omp_outer,1,static,10,100,10,7,3.860000e-06,0
histogram_omp_outer,1,static,10,100,10,8,3.953000e-06,0
histogram_omp_outer,1,static,10,100,10,9,4.090000e-06,0
histogram_omp_outer,1,static,10,1000,10,0,3.771200e-05,0
histogram_omp_outer,1,static,10,1000,10,1,1.313200e-05,0
histogram_omp_outer,1,static,10,1000,10,2,8.597000e-06,0
histogram_omp_outer,1,static,10,1000,10,3,1.244300e-05,0
histogram_omp_outer,1,static,10,1000,10,4,1.240800e-05,0
histogram_omp_outer,1,static,10,1000,10,5,8.583000e-06,0
histogram_omp_outer,1,static,10,1000,10,6,1.251800e-05,0
histogram_omp_outer,1,static,10,1000,10,7,1.185200e-05,0
histogram_omp_outer,1,static,10,1000,10,8,1.169700e-05,0
histogram_omp_outer,1,static,10,1000,10,9,1.421200e-05,0
histogram_omp_outer,1,static,10,10000,10,0,1.732000e-04,0
histogram_omp_outer,1,static,10,10000,10,1,1.117070e-04,0
histogram_omp_outer,1,static,10,10000,10,2,6.866400e-05,0
histogram_omp_outer,1,static,10,10000,10,3,1.332560e-04,0
histogram_omp_outer,1,static,10,10000,10,4,1.114530e-04,0
histogram_omp_outer,1,static,10,10000,10,5,7.037300e-05,0
histogram_omp_outer,1,static,10,10000,10,6,1.129770e-04,0
histogram_omp_outer,1,static,10,10000,10,7,1.055390e-04,0
histogram_omp_outer,1,static,10,10000,10,8,1.043150e-04,0
histogram_omp_outer,1,static,10,10000,10,9,1.305600e-04,0
histogram_omp_outer,1,static,10,100000,10,0,1.733277e-03,0
histogram_omp_outer,1,static,10,100000,10,1,1.036340e-03,0
histogram_omp_outer,1,static,10,100000,10,2,6.188290e-04,0
histogram_omp_outer,1,static,10,100000,10,3,9.598980e-04,0
histogram_omp_outer,1,static,10,100000,10,4,9.670850e-04,0
histogram_omp_outer,1,static,10,100000,10,5,5.987650e-04,0
histogram_omp_outer,1,static,10,100000,10,6,9.848630e-04,0
histogram_omp_outer,1,static,10,100000,10,7,9.347200e-04,0
histogram_omp_outer,1,static,10,100000,10,8,8.518510e-04,0
histogram_omp_outer,1,static,10,100000,10,9,1.069303e-03,0
histogram_omp_outer,1,static,100,10,10,0,2.967100e-05,0
histogram_omp_outer,1,static,100,10,10,1,2.081100e-05,0
histogram_omp_outer,1,static,100,10,10,2,6.646000e-06,0
histogram_omp_outer,1,static,100,10,10,3,6.616000e-06,0
histogram_omp_outer,1,static,100,10,10,4,6.451000e-06,0
histogram_omp_outer,1,static,100,10,10,5,7.026000e-06,0
histogram_omp_outer,1,static,100,10,10,6,6.366000e-06,0
histogram_omp_outer,1,static,100,10,10,7,6.509000e-06,0
histogram_omp_outer,1,static,100,10,10,8,6.506000e-06,0
histogram_omp_outer,1,static,100,10,10,9,6.415000e-06,0
histogram_omp_outer,1,static,100,100,10,0,3.697400e-05,0
histogram_omp_outer,1,static,100,100,10,1,1.458200e-05,0
histogram_omp_outer,1,static,100,100,10,2,1.434700e-05,0
histogram_omp_outer,1,static,100,100,10,3,1.347700e-05,0
histogram_omp_outer,1,static,100,100,10,4,2.737100e-05,0
histogram_omp_outer,1,static,100,100,10,5,1.504300e-05,0
histogram_omp_outer,1,static,100,100,10,6,1.352800e-05,0
histogram_omp_outer,1,static,100,100,10,7,1.341700e-05,0
histogram_omp_outer,1,static,100,100,10,8,1.334300e-05,0
histogram_omp_outer,1,static,100,100,10,9,1.344600e-05,0
histogram_omp_outer,1,static,100,1000,10,0,1.183710e-04,0
histogram_omp_outer,1,static,100,1000,10,1,8.594500e-05,0
histogram_omp_outer,1,static,100,1000,10,2,8.768100e-05,0
histogram_omp_outer,1,static,100,1000,10,3,8.276900e-05,0
histogram_omp_outer,1,static,100,1000,10,4,7.935300e-05,0
histogram_omp_outer,1,static,100,1000,10,5,9.745500e-05,0
histogram_omp_outer,1,static,100,1000,10,6,8.349100e-05,0
histogram_omp_outer,1,static,100,1000,10,7,8.158100e-05,0
histogram_omp_outer,1,static,100,1000,10,8,9.575800e-05,0
histogram_omp_outer,1,static,100,1000,10,9,8.270700e-05,0
histogram_omp_outer,1,static,100,10000,10,0,7.129280e-04,0
histogram_omp_outer,1,static,100,10000,10,1,6.211780e-04,0
histogram_omp_outer,1,static,100,10000,10,2,6.333810e-04,0
histogram_omp_outer,1,static,100,10000,10,3,5.934120e-04,0
histogram_omp_outer,1,static,100,10000,10,4,5.794170e-04,0
histogram_omp_outer,1,static,100,10000,10,5,7.169490e-04,0
histogram_omp_outer,1,static,100,10000,10,6,6.041000e-04,0
histogram_omp_outer,1,static,100,10000,10,7,5.885190e-04,0
histogram_omp_outer,1,static,100,10000,10,8,6.040640e-04,0
histogram_omp_outer,1,static,100,10000,10,9,6.022720e-04,0
histogram_omp_outer,1,static,100,100000,10,0,9.357290e-03,0
histogram_omp_outer,1,static,100,100000,10,1,7.044069e-03,0
histogram_omp_outer,1,static,100,100000,10,2,6.771946e-03,0
histogram_omp_outer,1,static,100,100000,10,3,5.893961e-03,0
histogram_omp_outer,1,static,100,100000,10,4,5.321248e-03,0
histogram_omp_outer,1,static,100,100000,10,5,6.279785e-03,0
histogram_omp_outer,1,static,100,100000,10,6,5.057562e-03,0
histogram_omp_outer,1,static,100,100000,10,7,4.730007e-03,0
histogram_omp_outer,1,static,100,100000,10,8,4.676332e-03,0
histogram_omp_outer,1,static,100,100000,10,9,4.442614e-03,0
histogram_omp_outer,1,static,1000,10,10,0,3.720400e-05,0
histogram_omp_outer,1,static,1000,10,10,1,2.510900e-05,0
histogram_omp_outer,1,static,1000,10,10,2,2.486600e-05,0
histogram_omp_outer,1,static,1000,10,10,3,2.488800e-05,0
histogram_omp_outer,1,static,1000,10,10,4,2.495000e-05,0
histogram_omp_outer,1,static,1000,10,10,5,2.479400e-05,0
histogram_omp_outer,1,static,1000,10,10,6,3.215000e-05,0
histogram_omp_outer,1,static,1000,10,10,7,2.525300e-05,0
histogram_omp_outer,1,static,1000,10,10,8,2.531600e-05,0
histogram_omp_outer,1,static,1000,10,10,9,2.410000e-05,0
histogram_omp_outer,1,static,1000,100,10,0,7.843000e-05,0
histogram_omp_outer,1,static,1000,100,10,1,6.419500e-05,0
histogram_omp_outer,1,static,1000,100,10,2,7.354000e-05,0
histogram_omp_outer,1,static,1000,100,10,3,6.459500e-05,0
histogram_omp_outer,1,static,1000,100,10,4,6.357200e-05,0
histogram_omp_outer,1,static,1000,100,10,5,6.512400e-05,0
histogram_omp_outer,1,static,1000,100,10,6,6.262600e-05,0
histogram_omp_outer,1,static,1000,100,10,7,6.461900e-05,0
histogram_omp_outer,1,static,1000,100,10,8,6.312600e-05,0
histogram_omp_outer,1,static,1000,100,10,9,6.336300e-05,0
histogram_omp_outer,1,static,1000,1000,10,0,4.799450e-04,0
histogram_omp_outer,1,static,1000,1000,10,1,4.531780e-04,0
histogram_omp_outer,1,static,1000,1000,10,2,4.602730e-04,0
histogram_omp_outer,1,static,1000,1000,10,3,4.630580e-04,0
histogram_omp_outer,1,static,1000,1000,10,4,4.729620e-04,0
histogram_omp_outer,1,static,1000,1000,10,5,4.908170e-04,0
histogram_omp_outer,1,static,1000,1000,10,6,4.655740e-04,0
histogram_omp_outer,1,static,1000,1000,10,7,4.852800e-04,0
histogram_omp_outer,1,static,1000,1000,10,8,4.681140e-04,0
histogram_omp_outer,1,static,1000,1000,10,9,4.723510e-04,0
histogram_omp_outer,1,static,1000,10000,10,0,4.518219e-03,0
histogram_omp_outer,1,static,1000,10000,10,1,4.207978e-03,0
histogram_omp_outer,1,static,1000,10000,10,2,4.038679e-03,0
histogram_omp_outer,1,static,1000,10000,10,3,4.070203e-03,0
histogram_omp_outer,1,static,1000,10000,10,4,3.990374e-03,0
histogram_omp_outer,1,static,1000,10000,10,5,4.146263e-03,0
histogram_omp_outer,1,static,1000,10000,10,6,3.918385e-03,0
histogram_omp_outer,1,static,1000,10000,10,7,4.103810e-03,0
histogram_omp_outer,1,static,1000,10000,10,8,3.939785e-03,0
histogram_omp_outer,1,static,1000,10000,10,9,3.974899e-03,0
histogram_omp_outer,1,static,1000,100000,10,0,6.904525e-02,0
histogram_omp_outer,1,static,1000,100000,10,1,4.136854e-02,0
histogram_omp_outer,1,static,1000,100000,10,2,4.052188e-02,0
histogram_omp_outer,1,static,1000,100000,10,3,4.099626e-02,0
histogram_omp_outer,1,static,1000,100000,10,4,4.017036e-02,0
histogram_omp_outer,1,static,1000,100000,10,5,4.161898e-02,0
histogram_omp_outer,1,static,1000,100000,10,6,3.943142e-02,0
histogram_omp_outer,1,static,1000,100000,10,7,4.126961e-02,0
histogram_omp_outer,1,static,1000,100000,10,8,3.961242e-02,0
histogram_omp_outer,1,static,1000,100000,10,9,3.940278e-02,0
histogram_omp_outer,1,static,10000,10,10,0,1.726660e-04,0
histogram_omp_outer,1,static,10000,10,10,1,1.606700e-04,0
histogram_omp_outer,1,static,10000,10,10,2,1.603430e-04,0
histogram_omp_outer,1,static,10000,10,10,3,1.603470e-04,0
histogram_omp_outer,1,static,10000,10,10,4,1.590140e-04,0
