kernel,threads,schedule,array_len,nb_bins,nb_repeat,rep,timing,check_status
histogram,1,none,4,4,10,0,3.757000e-06,0
histogram,1,none,4,4,10,1,4.200000e-07,0
histogram,1,none,4,4,10,2,2.930000e-07,0
histogram,1,none,4,4,10,3,2.370000e-07,0
histogram,1,none,4,4,10,4,3.370000e-07,0
histogram,1,none,4,4,10,5,2.900000e-07,0
histogram,1,none,4,4,10,6,3.000000e-07,0
histogram,1,none,4,4,10,7,3.000000e-07,0
histogram,1,none,4,4,10,8,2.830000e-07,0
histogram,1,none,4,4,10,9,2.930000e-07,0
histogram,1,none,8,8,10,0,3.660000e-06,0
histogram,1,none,8,8,10,1,8.340000e-07,0
histogram,1,none,8,8,10,2,5.290000e-07,0
histogram,1,none,8,8,10,3,3.830000e-07,0
histogram,1,none,8,8,10,4,5.180000e-07,0
histogram,1,none,8,8,10,5,5.090000e-07,0
histogram,1,none,8,8,10,6,4.570000e-07,0
histogram,1,none,8,8,10,7,3.600000e-07,0
histogram,1,none,8,8,10,8,5.050000e-07,0
histogram,1,none,8,8,10,9,4.710000e-07,0
histogram,1,none,16,16,10,0,4.597000e-06,0
histogram,1,none,16,16,10,1,1.117000e-06,0
histogram,1,none,16,16,10,2,1.090000e-06,0
histogram,1,none,16,16,10,3,9.330000e-07,0
histogram,1,none,16,16,10,4,1.024000e-06,0
histogram,1,none,16,16,10,5,1.123000e-06,0
histogram,1,none,16,16,10,6,1.103000e-06,0
histogram,1,none,16,16,10,7,9.430000e-07,0
histogram,1,none,16,16,10,8,8.630000e-07,0
histogram,1,none,16,16,10,9,8.630000e-07,0
histogram,1,none,32,32,10,0,5.354000e-06,0
histogram,1,none,32,32,10,1,2.530000e-06,0
histogram,1,none,32,32,10,2,2.466000e-06,0
histogram,1,none,32,32,10,3,2.377000e-06,0
histogram,1,none,32,32,10,4,2.127000e-06,0
histogram,1,none,32,32,10,5,2.277000e-06,0
histogram,1,none,32,32,10,6,2.580000e-06,0
histogram,1,none,32,32,10,7,2.146000e-06,0
histogram,1,none,32,32,10,8,2.134000e-06,0
histogram,1,none,32,32,10,9,2.397000e-06,0
histogram,1,none,64,64,10,0,8.455000e-06,0
histogram,1,none,64,64,10,1,5.960000e-06,0
histogram,1,none,64,64,10,2,5.534000e-06,0
histogram,1,none,64,64,10,3,5.591000e-06,0
histogram,1,none,64,64,10,4,5.726000e-06,0
histogram,1,none,64,64,10,5,5.157000e-06,0
histogram,1,none,64,64,10,6,5.040000e-06,0
histogram,1,none,64,64,10,7,5.443000e-06,0
histogram,1,none,64,64,10,8,5.800000e-06,0
histogram,1,none,64,64,10,9,5.860000e-06,0
histogram,1,none,128,128,10,0,2.057700e-05,0
histogram,1,none,128,128,10,1,1.674000e-05,0
histogram,1,none,128,128,10,2,1.679700e-05,0
histogram,1,none,128,128,10,3,1.580000e-05,0
histogram,1,none,128,128,10,4,1.782000e-05,0
histogram,1,none,128,128,10,5,1.602300e-05,0
histogram,1,none,128,128,10,6,1.592900e-05,0
histogram,1,none,128,128,10,7,1.608200e-05,0
histogram,1,none,128,128,10,8,1.664300e-05,0
histogram,1,none,128,128,10,9,1.625700e-05,0
histogram,1,none,256,256,10,0,6.602300e-05,0
histogram,1,none,256,256,10,1,5.760900e-05,0
histogram,1,none,256,256,10,2,6.035500e-05,0
histogram,1,none,256,256,10,3,5.603800e-05,0
histogram,1,none,256,256,10,4,5.796300e-05,0
histogram,1,none,256,256,10,5,6.920300e-05,0
histogram,1,none,256,256,10,6,5.932300e-05,0
histogram,1,none,256,256,10,7,5.649100e-05,0
histogram,1,none,256,256,10,8,5.829800e-05,0
histogram,1,none,256,256,10,9,5.868100e-05,0
histogram,1,none,512,512,10,0,1.843300e-04,0
histogram,1,none,512,512,10,1,1.876050e-04,0
histogram,1,none,512,512,10,2,1.729850e-04,0
histogram,1,none,512,512,10,3,1.755500e-04,0
histogram,1,none,512,512,10,4,1.828080e-04,0
histogram,1,none,512,512,10,5,1.702230e-04,0
histogram,1,none,512,512,10,6,1.785230e-04,0
histogram,1,none,512,512,10,7,1.745260e-04,0
histogram,1,none,512,512,10,8,1.754060e-04,0
histogram,1,none,512,512,10,9,1.725560e-04,0
histogram,1,none,1024,1024,10,0,8.661970e-04,0
histogram,1,none,1024,1024,10,1,8.340880e-04,0
histogram,1,none,1024,1024,10,2,8.291630e-04,0
histogram,1,none,1024,1024,10,3,8.120520e-04,0
histogram,1,none,1024,1024,10,4,7.733250e-04,0
histogram,1,none,1024,1024,10,5,7.801970e-04,0
histogram,1,none,1024,1024,10,6,7.629990e-04,0
histogram,1,none,1024,1024,10,7,7.856470e-04,0
