kernel,mesh_width,mesh_height,nb_iterations,nb_repeat,rep,timing,check_status
stencil_avx2,5,5,100,10,0,6.088300e-05,0
stencil_avx2,5,5,100,10,1,5.399700e-05,0
stencil_avx2,5,5,100,10,2,5.353700e-05,0
stencil_avx2,5,5,100,10,3,5.383700e-05,0
stencil_avx2,5,5,100,10,4,5.353100e-05,0
stencil_avx2,5,5,100,10,5,5.368300e-05,0
stencil_avx2,5,5,100,10,6,5.352700e-05,0
stencil_avx2,5,5,100,10,7,5.373000e-05,0
stencil_avx2,5,5,100,10,8,6.047000e-05,0
stencil_avx2,5,5,100,10,9,5.385700e-05,0
stencil_avx2,5,10,100,10,0,6.907500e-05,0
stencil_avx2,5,10,100,10,1,6.040600e-05,0
stencil_avx2,5,10,100,10,2,6.010600e-05,0
stencil_avx2,5,10,100,10,3,6.046900e-05,0
stencil_avx2,5,10,100,10,4,6.052900e-05,0
stencil_avx2,5,10,100,10,5,6.055100e-05,0
stencil_avx2,5,10,100,10,6,7.090300e-05,0
stencil_avx2,5,10,100,10,7,6.000300e-05,0
stencil_avx2,5,10,100,10,8,6.015800e-05,0
stencil_avx2,5,10,100,10,9,6.019200e-05,0
stencil_avx2,5,15,100,10,0,6.230500e-05,0
stencil_avx2,5,15,100,10,1,5.517900e-05,0
stencil_avx2,5,15,100,10,2,5.493000e-05,0
stencil_avx2,5,15,100,10,3,7.326100e-05,0
stencil_avx2,5,15,100,10,4,5.516700e-05,0
stencil_avx2,5,15,100,10,5,5.511500e-05,0
stencil_avx2,5,15,100,10,6,5.508000e-05,0
stencil_avx2,5,15,100,10,7,5.502200e-05,0
stencil_avx2,5,15,100,10,8,5.508700e-05,0
stencil_avx2,5,15,100,10,9,5.492300e-05,0
stencil_avx2,5,20,100,10,0,8.060500e-05,0
stencil_avx2,5,20,100,10,1,7.267400e-05,0
stencil_avx2,5,20,100,10,2,8.697000e-05,0
stencil_avx2,5,20,100,10,3,7.256300e-05,0
stencil_avx2,5,20,100,10,4,7.288000e-05,0
stencil_avx2,5,20,100,10,5,7.244800e-05,0
stencil_avx2,5,20,100,10,6,7.248300e-05,0
stencil_avx2,5,20,100,10,7,7.260300e-05,0
stencil_avx2,5,20,100,10,8,7.249200e-05,0
stencil_avx2,5,20,100,10,9,7.261300e-05,0
stencil_avx2,5,25,100,10,0,1.021370e-04,0
stencil_avx2,5,25,100,10,1,8.250300e-05,0
stencil_avx2,5,25,100,10,2,8.239600e-05,0
stencil_avx2,5,25,100,10,3,8.234900e-05,0
stencil_avx2,5,25,100,10,4,8.235600e-05,0
stencil_avx2,5,25,100,10,5,8.264500e-05,0
stencil_avx2,5,25,100,10,6,9.698600e-05,0
stencil_avx2,5,25,100,10,7,8.250000e-05,0
stencil_avx2,5,25,100,10,8,8.254900e-05,0
stencil_avx2,5,25,100,10,9,8.262100e-05,0
stencil_avx2,5,30,100,10,0,9.816100e-05,0
stencil_avx2,5,30,100,10,1,9.030600e-05,0
stencil_avx2,5,30,100,10,2,9.017900e-05,0
stencil_avx2,5,30,100,10,3,9.056300e-05,0
stencil_avx2,5,30,100,10,4,9.058700e-05,0
stencil_avx2,5,30,100,10,5,9.053000e-05,0
stencil_avx2,5,30,100,10,6,9.033500e-05,0
stencil_avx2,5,30,100,10,7,9.054600e-05,0
stencil_avx2,5,30,100,10,8,9.051300e-05,0
stencil_avx2,5,30,100,10,9,9.012100e-05,0
stencil_avx2,5,35,100,10,0,9.799800e-05,0
stencil_avx2,5,35,100,10,1,9.028100e-05,0
stencil_avx2,5,35,100,10,2,1.048460e-04,0
stencil_avx2,5,35,100,10,3,9.024100e-05,0
stencil_avx2,5,35,100,10,4,9.011900e-05,0
stencil_avx2,5,35,100,10,5,9.033800e-05,0
stencil_avx2,5,35,100,10,6,9.011600e-05,0
stencil_avx2,5,35,100,10,7,1.052580e-04,0
stencil_avx2,5,35,100,10,8,9.028300e-05,0
stencil_avx2,5,35,100,10,9,9.014700e-05,0
stencil_avx2,5,40,100,10,0,1.137400e-04,0
stencil_avx2,5,40,100,10,1,1.076720e-04,0
stencil_avx2,5,40,100,10,2,1.076630e-04,0
stencil_avx2,5,40,100,10,3,1.077190e-04,0
stencil_avx2,5,40,100,10,4,1.076670e-04,0
stencil_avx2,5,40,100,10,5,1.077080e-04,0
stencil_avx2,5,40,100,10,6,1.075960e-04,0
stencil_avx2,5,40,100,10,7,1.137300e-04,0
stencil_avx2,5,40,100,10,8,1.077440e-04,0
stencil_avx2,5,40,100,10,9,1.076130e-04,0
stencil_avx2,5,45,100,10,0,1.271980e-04,0
stencil_avx2,5,45,100,10,1,1.109780e-04,0
stencil_avx2,5,45,100,10,2,1.265360e-04,0
stencil_avx2,5,45,100,10,3,1.107130e-04,0
stencil_avx2,5,45,100,10,4,1.107260e-04,0
stencil_avx2,5,45,100,10,5,1.106930e-04,0
stencil_avx2,5,45,100,10,6,1.108080e-04,0
stencil_avx2,5,45,100,10,7,1.108080e-04,0
stencil_avx2,5,45,100,10,8,1.107810e-04,0
stencil_avx2,5,45,100,10,9,1.107310e-04,0
stencil_avx2,5,50,100,10,0,1.298070e-04,0
stencil_avx2,5,50,100,10,1,1.114710e-04,0
stencil_avx2,5,50,100,10,2,1.113070e-04,0
stencil_avx2,5,50,100,10,3,1.112890e-04,0
stencil_avx2,5,50,100,10,4,1.113290e-04,0
stencil_avx2,5,50,100,10,5,1.113540e-04,0
stencil_avx2,5,50,100,10,6,1.112610e-04,0
stencil_avx2,5,50,100,10,7,1.155470e-04,0
stencil_avx2,5,50,100,10,8,1.113230e-04,0
stencil_avx2,5,50,100,10,9,1.112690e-04,0
stencil_avx2,5,100,100,10,0,2.074470e-04,0
stencil_avx2,5,100,100,10,1,1.865030e-04,0
stencil_avx2,5,100,100,10,2,1.989230e-04,0
stencil_avx2,5,100,100,10,3,1.859470e-04,0
stencil_avx2,5,100,100,10,4,1.860420e-04,0
stencil_avx2,5,100,100,10,5,1.861620e-04,0
stencil_avx2,5,100,100,10,6,1.861050e-04,0
stencil_avx2,5,100,100,10,7,1.902170e-04,0
stencil_avx2,5,100,100,10,8,1.866030e-04,0
stencil_avx2,5,100,100,10,9,1.862930e-04,0
stencil_avx2,5,1000,100,10,0,1.897414e-03,0
stencil_avx2,5,1000,100,10,1,1.861196e-03,0
stencil_avx2,5,1000,100,10,2,1.776742e-03,0
stencil_avx2,5,1000,100,10,3,1.771791e-03,0
stencil_avx2,5,1000,100,10,4,1.752811e-03,0
stencil_avx2,5,1000,100,10,5,1.693618e-03,0
stencil_avx2,5,1000,100,10,6,1.669141e-03,0
stencil_avx2,5,1000,100,10,7,1.651623e-03,0
stencil_avx2,5,1000,100,10,8,1.593275e-03,0
stencil_avx2,5,1000,100,10,9,1.578015e-03,0
stencil_avx2,5,2000,100,10,0,5.158638e-03,0
stencil_avx2,5,2000,100,10,1,4.724004e-03,0
stencil_avx2,5,2000,100,10,2,4.376764e-03,0
stencil_avx2,5,2000,100,10,3,4.085384e-03,0
stencil_avx2,5,2000,100,10,4,3.906730e-03,0
stencil_avx2,5,2000,100,10,5,3.810967e-03,0
stencil_avx2,5,2000,100,10,6,3.607421e-03,0
stencil_avx2,5,2000,100,10,7,3.404679e-03,0
stencil_avx2,5,2000,100,10,8,3.324499e-03,0
stencil_avx2,5,2000,100,10,9,3.221630e-03,0
stencil_avx2,10,5,100,10,0,2.822800e-05,0
stencil_avx2,10,5,100,10,1,1.341700e-05,0
stencil_avx2,10,5,100,10,2,1.298400e-05,0
stencil_avx2,10,5,100,10,3,1.316400e-05,0
stencil_avx2,10,5,100,10,4,1.296400e-05,0
stencil_avx2,10,5,100,10,5,1.306800e-05,0
stencil_avx2,10,5,100,10,6,1.311100e-05,0
stencil_avx2,10,5,100,10,7,1.317000e-05,0
stencil_avx2,10,5,100,10,8,1.315200e-05,0
stencil_avx2,10,5,100,10,9,1.295000e-05,0
stencil_avx2,10,10,100,10,0,3.563400e-05,0
stencil_avx2,10,10,100,10,1,2.038200e-05,0
stencil_avx2,10,10,100,10,2,2.037600e-05,0
stencil_avx2,10,10,100,10,3,2.017800e-05,0
stencil_avx2,10,10,100,10,4,1.983400e-05,0
stencil_avx2,10,10,100,10,5,1.976900e-05,0
stencil_avx2,10,10,100,10,6,1.993400e-05,0
stencil_avx2,10,10,100,10,7,1.980200e-05,0
stencil_avx2,10,10,100,10,8,2.027300e-05,0
stencil_avx2,10,10,100,10,9,1.997800e-05,0
stencil_avx2,10,15,100,10,0,4.410000e-05,0
stencil_avx2,10,15,100,10,1,2.842200e-05,0
stencil_avx2,10,15,100,10,2,2.809400e-05,0
stencil_avx2,10,15,100,10,3,2.837000e-05,0
stencil_avx2,10,15,100,10,4,2.891600e-05,0
stencil_avx2,10,15,100,10,5,2.824200e-05,0
stencil_avx2,10,15,100,10,6,2.831300e-05,0
stencil_avx2,10,15,100,10,7,2.833800e-05,0
stencil_avx2,10,15,100,10,8,2.830300e-05,0
stencil_avx2,10,15,100,10,9,2.830600e-05,0
stencil_avx2,10,20,100,10,0,5.382000e-05,0
stencil_avx2,10,20,100,10,1,3.896800e-05,0
stencil_avx2,10,20,100,10,2,3.870700e-05,0
stencil_avx2,10,20,100,10,3,3.885200e-05,0
stencil_avx2,10,20,100,10,4,3.885300e-05,0
stencil_avx2,10,20,100,10,5,3.885800e-05,0
stencil_avx2,10,20,100,10,6,3.904200e-05,0
stencil_avx2,10,20,100,10,7,3.886700e-05,0
stencil_avx2,10,20,100,10,8,3.884200e-05,0
stencil_avx2,10,20,100,10,9,3.877000e-05,0
stencil_avx2,10,25,100,10,0,6.211300e-05,0
stencil_avx2,10,25,100,10,1,5.489300e-05,0
stencil_avx2,10,25,100,10,2,5.503500e-05,0
stencil_avx2,10,25,100,10,3,5.509600e-05,0
stencil_avx2,10,25,100,10,4,5.488000e-05,0
stencil_avx2,10,25,100,10,5,5.471500e-05,0
stencil_avx2,10,25,100,10,6,5.442000e-05,0
stencil_avx2,10,25,100,10,7,5.486500e-05,0
stencil_avx2,10,25,100,10,8,5.480600e-05,0
stencil_avx2,10,25,100,10,9,5.477100e-05,0
stencil_avx2,10,30,100,10,0,6.903600e-05,0
stencil_avx2,10,30,100,10,1,6.172800e-05,0
stencil_avx2,10,30,100,10,2,6.152100e-05,0
stencil_avx2,10,30,100,10,3,6.171500e-05,0
stencil_avx2,10,30,100,10,4,6.159400e-05,0
stencil_avx2,10,30,100,10,5,6.155900e-05,0
stencil_avx2,10,30,100,10,6,6.183300e-05,0
stencil_avx2,10,30,100,10,7,6.156600e-05,0
stencil_avx2,10,30,100,10,8,6.156300e-05,0
stencil_avx2,10,30,100,10,9,6.165300e-05,0
stencil_avx2,10,35,100,10,0,9.619600e-05,0
stencil_avx2,10,35,100,10,1,7.583500e-05,0
stencil_avx2,10,35,100,10,2,7.565900e-05,0
stencil_avx2,10,35,100,10,3,7.584600e-05,0
stencil_avx2,10,35,100,10,4,7.557800e-05,0
stencil_avx2,10,35,100,10,5,7.577300e-05,0
stencil_avx2,10,35,100,10,6,7.590300e-05,0
stencil_avx2,10,35,100,10,7,7.551800e-05,0
stencil_avx2,10,35,100,10,8,7.590800e-05,0
stencil_avx2,10,35,100,10,9,7.922600e-05,0
stencil_avx2,10,40,100,10,0,9.559300e-05,0
stencil_avx2,10,40,100,10,1,8.539800e-05,0
stencil_avx2,10,40,100,10,2,9.770600e-05,0
stencil_avx2,10,40,100,10,3,8.511300e-05,0
stencil_avx2,10,40,100,10,4,8.508000e-05,0
stencil_avx2,10,40,100,10,5,8.528300e-05,0
stencil_avx2,10,40,100,10,6,8.524700e-05,0
stencil_avx2,10,40,100,10,7,8.531600e-05,0
stencil_avx2,10,40,100,10,8,8.515800e-05,0
stencil_avx2,10,40,100,10,9,8.515600e-05,0
stencil_avx2,10,45,100,10,0,1.080160e-04,0
stencil_avx2,10,45,100,10,1,9.934800e-05,0
stencil_avx2,10,45,100,10,2,9.891100e-05,0
stencil_avx2,10,45,100,10,3,9.918900e-05,0
stencil_avx2,10,45,100,10,4,9.884300e-05,0
stencil_avx2,10,45,100,10,5,9.769500e-05,0
stencil_avx2,10,45,100,10,6,9.913300e-05,0
stencil_avx2,10,45,100,10,7,9.885100e-05,0
stencil_avx2,10,45,100,10,8,9.902600e-05,0
stencil_avx2,10,45,100,10,9,9.924000e-05,0
stencil_avx2,10,50,100,10,0,1.153090e-04,0
stencil_avx2,10,50,100,10,1,1.044150e-04,0
stencil_avx2,10,50,100,10,2,1.044140e-04,0
stencil_avx2,10,50,100,10,3,1.171180e-04,0
stencil_avx2,10,50,100,10,4,1.043590e-04,0
stencil_avx2,10,50,100,10,5,1.045190e-04,0
stencil_avx2,10,50,100,10,6,1.041370e-04,0
stencil_avx2,10,50,100,10,7,1.043370e-04,0
stencil_avx2,10,50,100,10,8,1.039770e-04,0
stencil_avx2,10,50,100,10,9,1.041790e-04,0
stencil_avx2,10,100,100,10,0,2.059400e-04,0
stencil_avx2,10,100,100,10,1,1.959090e-04,0
stencil_avx2,10,100,100,10,2,2.021800e-04,0
stencil_avx2,10,100,100,10,3,1.957740e-04,0
stencil_avx2,10,100,100,10,4,1.956540e-04,0
stencil_avx2,10,100,100,10,5,1.957140e-04,0
stencil_avx2,10,100,100,10,6,1.960650e-04,0
stencil_avx2,10,100,100,10,7,1.998320e-04,0
stencil_avx2,10,100,100,10,8,1.954670e-04,0
stencil_avx2,10,100,100,10,9,1.956960e-04,0
stencil_avx2,10,1000,100,10,0,2.274974e-03,0
stencil_avx2,10,1000,100,10,1,2.235082e-03,0
stencil_avx2,10,1000,100,10,2,2.211056e-03,0
stencil_avx2,10,1000,100,10,3,2.092951e-03,0
stencil_avx2,10,1000,100,10,4,2.091706e-03,0
stencil_avx2,10,1000,100,10,5,1.983813e-03,0
stencil_avx2,10,1000,100,10,6,1.967766e-03,0
stencil_avx2,10,1000,100,10,7,1.875862e-03,0
stencil_avx2,10,1000,100,10,8,1.858140e-03,0
stencil_avx2,10,1000,100,10,9,1.861878e-03,0
stencil_avx2,10,2000,100,10,0,4.207570e-03,0
stencil_avx2,10,2000,100,10,1,4.065395e-03,0
stencil_avx2,10,2000,100,10,2,3.890775e-03,0
stencil_avx2,10,2000,100,10,3,3.685291e-03,0
stencil_avx2,10,2000,100,10,4,3.519524e-03,0
stencil_avx2,10,2000,100,10,5,3.469256e-03,0
stencil_avx2,10,2000,100,10,6,3.347806e-03,0
stencil_avx2,10,2000,100,10,7,3.206822e-03,0
stencil_avx2,10,2000,100,10,8,3.179127e-03,0
stencil_avx2,10,2000,100,10,9,3.051711e-03,0
stencil_avx2,15,5,100,10,0,2.884700e-05,0
stencil_avx2,15,5,100,10,1,1.381900e-05,0
stencil_avx2,15,5,100,10,2,1.375200e-05,0
stencil_avx2,15,5,100,10,3,2.155400e-05,0
stencil_avx2,15,5,100,10,4,1.365100e-05,0
stencil_avx2,15,5,100,10,5,1.364800e-05,0
stencil_avx2,15,5,100,10,6,1.365600e-05,0
stencil_avx2,15,5,100,10,7,1.367600e-05,0
stencil_avx2,15,5,100,10,8,1.370700e-05,0
stencil_avx2,15,5,100,10,9,1.365500e-05,0
stencil_avx2,15,10,100,10,0,5.870400e-05,0
stencil_avx2,15,10,100,10,1,4.654600e-05,0
stencil_avx2,15,10,100,10,2,4.589900e-05,0
stencil_avx2,15,10,100,10,3,4.587900e-05,0
