kernel,mesh_width,mesh_height,nb_repeat,cores,dram
stencil_avx2,5,5,10,0.46180,0.14520
stencil_avx2,5,10,10,0.45380,0.15150
stencil_avx2,5,15,10,0.39900,0.12450
stencil_avx2,5,20,10,0.39550,0.13030
stencil_avx2,5,25,10,0.47440,0.16070
stencil_avx2,5,30,10,0.48270,0.15910
stencil_avx2,5,35,10,0.46210,0.14430
stencil_avx2,5,40,10,0.41780,0.13740
stencil_avx2,5,45,10,0.46190,0.15110
stencil_avx2,5,50,10,0.43920,0.14550
stencil_avx2,5,100,10,0.57280,0.18760
stencil_avx2,5,1000,10,1.66160,0.55670
stencil_avx2,5,2000,10,2.54290,0.84560
stencil_avx2,10,5,10,0.35300,0.11740
stencil_avx2,10,10,10,0.39690,0.13100
stencil_avx2,10,15,10,0.39370,0.13100
stencil_avx2,10,20,10,0.37840,0.12440
stencil_avx2,10,25,10,0.40000,0.12310
stencil_avx2,10,30,10,0.39130,0.13010
stencil_avx2,10,35,10,0.45970,0.14470
stencil_avx2,10,40,10,0.44030,0.14490
stencil_avx2,10,45,10,0.39780,0.13070
stencil_avx2,10,50,10,0.42340,0.13800
stencil_avx2,10,100,10,0.53140,0.17330
stencil_avx2,10,1000,10,1.81980,0.60100
stencil_avx2,10,2000,10,3.19390,1.06660
stencil_avx2,15,5,10,0.35400,0.11690
stencil_avx2,15,10,10,0.44110,0.14610
stencil_avx2,15,15,10,0.42150,0.13850
stencil_avx2,15,20,10,0.43940,0.14490
stencil_avx2,15,25,10,0.48070,0.16110
stencil_avx2,15,30,10,0.39550,0.13090
stencil_avx2,15,35,10,0.50040,0.16000
stencil_avx2,15,40,10,0.44350,0.14460
stencil_avx2,15,45,10,0.50810,0.16630
stencil_avx2,15,50,10,0.52600,0.17280
stencil_avx2,15,100,10,0.55420,0.18120
stencil_avx2,15,1000,10,2.49760,0.82950
stencil_avx2,15,2000,10,4.55110,1.46460
stencil_avx2,20,5,10,0.39590,0.13270
stencil_avx2,20,10,10,0.41770,0.13800
stencil_avx2,20,15,10,0.41510,0.13830
stencil_avx2,20,20,10,0.46030,0.15220
stencil_avx2,20,25,10,0.44220,0.14610
stencil_avx2,20,30,10,0.44120,0.14590
stencil_avx2,20,35,10,0.50020,0.16810
stencil_avx2,20,40,10,0.64060,0.20910
stencil_avx2,20,45,10,0.45640,0.14670
stencil_avx2,20,50,10,0.54110,0.18340
stencil_avx2,20,100,10,0.70880,0.23150
