kernel,nb_partitions,mesh_width,mesh_height,nb_iterations,nb_repeat,rep,timing,check_status
stencil,1,512,512,100,10,0,4.614924e-01,0
stencil,1,512,512,100,10,1,3.248340e-01,0
stencil,1,512,512,100,10,2,3.251158e-01,0
stencil,1,512,512,100,10,3,3.246625e-01,0
stencil,1,512,512,100,10,4,3.257131e-01,0
stencil,1,512,512,100,10,5,3.273380e-01,0
stencil,1,512,512,100,10,6,3.223948e-01,0
stencil,1,512,512,100,10,7,3.228783e-01,0
stencil,1,512,512,100,10,8,3.210343e-01,0
stencil,1,512,512,100,10,9,3.197682e-01,0
stencil,1,1024,1024,100,10,0,1.548889e+00,0
stencil,1,1024,1024,100,10,1,1.329686e+00,0
stencil,1,1024,1024,100,10,2,1.372365e+00,0
stencil,1,1024,1024,100,10,3,1.326323e+00,0
stencil,1,1024,1024,100,10,4,1.336661e+00,0
stencil,1,1024,1024,100,10,5,1.333938e+00,0
stencil,1,1024,1024,100,10,6,1.341141e+00,0
stencil,1,1024,1024,100,10,7,1.330183e+00,0
stencil,1,1024,1024,100,10,8,1.385818e+00,0
stencil,1,1024,1024,100,10,9,1.342167e+00,0
stencil,1,2048,2048,100,10,0,1.127917e+01,0
stencil,1,2048,2048,100,10,1,1.107776e+01,0
stencil,1,2048,2048,100,10,2,1.098640e+01,0
stencil,1,2048,2048,100,10,3,1.098620e+01,0
stencil,1,2048,2048,100,10,4,1.098998e+01,0
stencil,1,2048,2048,100,10,5,1.097864e+01,0
stencil,1,2048,2048,100,10,6,1.098229e+01,0
stencil,1,2048,2048,100,10,7,1.098613e+01,0
stencil,1,2048,2048,100,10,8,1.098136e+01,0
stencil,1,2048,2048,100,10,9,1.098284e+01,0
stencil,1,4096,4096,100,10,0,7.410758e+01,0
stencil,1,4096,4096,100,10,1,7.401772e+01,0
stencil,1,4096,4096,100,10,2,7.404423e+01,0
stencil,1,4096,4096,100,10,3,7.422814e+01,0
stencil,1,4096,4096,100,10,4,7.410439e+01,0
stencil,1,4096,4096,100,10,5,7.409002e+01,0
stencil,1,4096,4096,100,10,6,7.401547e+01,0
stencil,1,4096,4096,100,10,7,7.405265e+01,0
stencil,1,4096,4096,100,10,8,7.404716e+01,0
stencil,1,4096,4096,100,10,9,7.410415e+01,0
stencil_starpu,2,512,512,100,10,0,2.298904e-01,0
stencil_starpu,2,512,512,100,10,1,1.892092e-01,0
stencil_starpu,2,512,512,100,10,2,1.818810e-01,0
stencil_starpu,2,512,512,100,10,3,1.809738e-01,0
stencil_starpu,2,512,512,100,10,4,1.846272e-01,0
stencil_starpu,2,512,512,100,10,5,1.947126e-01,0
stencil_starpu,2,512,512,100,10,6,1.860175e-01,0
stencil_starpu,2,512,512,100,10,7,1.806051e-01,0
stencil_starpu,2,512,512,100,10,8,1.728155e-01,0
stencil_starpu,2,512,512,100,10,9,1.806864e-01,0
stencil_starpu,4,512,512,100,10,0,1.642018e-01,0
stencil_starpu,4,512,512,100,10,1,1.540735e-01,0
stencil_starpu,4,512,512,100,10,2,1.528342e-01,0
stencil_starpu,4,512,512,100,10,3,1.489084e-01,0
stencil_starpu,4,512,512,100,10,4,1.542241e-01,0
stencil_starpu,4,512,512,100,10,5,1.326640e-01,0
stencil_starpu,4,512,512,100,10,6,1.471833e-01,0
stencil_starpu,4,512,512,100,10,7,1.487255e-01,0
stencil_starpu,4,512,512,100,10,8,1.513804e-01,0
stencil_starpu,4,512,512,100,10,9,1.471315e-01,0
stencil_starpu,8,512,512,100,10,0,1.613112e-01,0
stencil_starpu,8,512,512,100,10,1,1.678788e-01,0
stencil_starpu,8,512,512,100,10,2,1.484764e-01,0
stencil_starpu,8,512,512,100,10,3,1.533258e-01,0
stencil_starpu,8,512,512,100,10,4,1.197484e-01,0
stencil_starpu,8,512,512,100,10,5,1.524960e-01,0
stencil_starpu,8,512,512,100,10,6,1.415051e-01,0
stencil_starpu,8,512,512,100,10,7,1.423183e-01,0
stencil_starpu,8,512,512,100,10,8,1.482586e-01,0
stencil_starpu,8,512,512,100,10,9,1.564248e-01,0
stencil_starpu,16,512,512,100,10,0,1.824008e-01,0
stencil_starpu,16,512,512,100,10,1,1.290632e-01,0
stencil_starpu,16,512,512,100,10,2,1.760724e-01,0
stencil_starpu,16,512,512,100,10,3,1.432868e-01,0
stencil_starpu,16,512,512,100,10,4,1.666141e-01,0
stencil_starpu,16,512,512,100,10,5,1.856357e-01,0
stencil_starpu,16,512,512,100,10,6,1.401101e-01,0
stencil_starpu,16,512,512,100,10,7,1.776917e-01,0
stencil_starpu,16,512,512,100,10,8,1.780410e-01,0
stencil_starpu,16,512,512,100,10,9,1.961651e-01,0
stencil_starpu,32,512,512,100,10,0,2.915429e-01,0
stencil_starpu,32,512,512,100,10,1,2.943865e-01,0
stencil_starpu,32,512,512,100,10,2,2.651564e-01,0
stencil_starpu,32,512,512,100,10,3,2.813434e-01,0
stencil_starpu,32,512,512,100,10,4,2.314243e-01,0
stencil_starpu,32,512,512,100,10,5,2.759651e-01,0
stencil_starpu,32,512,512,100,10,6,2.688310e-01,0
stencil_starpu,32,512,512,100,10,7,2.808238e-01,0
stencil_starpu,32,512,512,100,10,8,2.703612e-01,0
stencil_starpu,32,512,512,100,10,9,2.801090e-01,0
stencil_starpu,64,512,512,100,10,0,4.736632e-01,0
stencil_starpu,64,512,512,100,10,1,4.334907e-01,0
stencil_starpu,64,512,512,100,10,2,4.568658e-01,0
stencil_starpu,64,512,512,100,10,3,4.424218e-01,0
stencil_starpu,64,512,512,100,10,4,4.495477e-01,0
stencil_starpu,64,512,512,100,10,5,4.030098e-01,0
stencil_starpu,64,512,512,100,10,6,4.621390e-01,0
stencil_starpu,64,512,512,100,10,7,4.375818e-01,0
stencil_starpu,64,512,512,100,10,8,4.680752e-01,0
stencil_starpu,64,512,512,100,10,9,4.331098e-01,0
stencil_starpu,128,512,512,100,10,0,7.654208e-01,0
stencil_starpu,128,512,512,100,10,1,6.556035e-01,0
stencil_starpu,128,512,512,100,10,2,7.215276e-01,0
stencil_starpu,128,512,512,100,10,3,7.348206e-01,0
stencil_starpu,128,512,512,100,10,4,6.666995e-01,0
stencil_starpu,128,512,512,100,10,5,6.969154e-01,0
stencil_starpu,128,512,512,100,10,6,7.297881e-01,0
stencil_starpu,128,512,512,100,10,7,8.935147e-01,0
stencil_starpu,128,512,512,100,10,8,8.375647e-01,0
stencil_starpu,128,512,512,100,10,9,8.903397e-01,0
stencil_starpu,256,512,512,100,10,0,1.487484e+00,0
stencil_starpu,256,512,512,100,10,1,1.268963e+00,0
stencil_starpu,256,512,512,100,10,2,1.258505e+00,0
stencil_starpu,256,512,512,100,10,3,1.541987e+00,0
stencil_starpu,256,512,512,100,10,4,1.595888e+00,0
stencil_starpu,256,512,512,100,10,5,1.393607e+00,0
stencil_starpu,256,512,512,100,10,6,1.302689e+00,0
